id,mood,color_theme,visual_subject,preset,motion,duration,seeds
al_drift_dream,dreamy,pastel,floating faceted crystals adrift,,,,
al_pulse_neon,sharp,neon,a pulsing neon ring,,,,
al_still_mono,serene,mono,a single geometric monolith under soft light,,,,
al_glow_warm,ethereal,warm,glowing faceted particles suspended,,,,
al_cycle_neon,rhythmic,neon,concentric neon rings looping,,,,
al_chaos_sunset,chaotic,sunset,faceted shards tumbling in warm light,,,,
al_weight_cool,melancholic,cool,a single cube slowly sinking in mist,,,,
al_drift_mono,dreamy,mono,soft geometric clouds drifting,,,,
al_glow_deep,ethereal,deep,a single faceted orb in deep dark space,,,,
al_cycle_pastel,rhythmic,pastel,a gentle geometric wave looping,,,,
