id,product,category,vibe,visual_subject,preset,motion,duration,seeds
pt_watch_premium,The Arc Watch,luxury,premium,a geometric watch floating on a dark pedestal,,,,
pt_speaker_bold,Pulse Speaker,tech,bold,a low poly wireless speaker emerging from mist,,,,
pt_chair_clean,Fold Chair,home,clean,a geometric folding chair in empty space,,,,
pt_sneaker_playful,Sprint 01,fashion,playful,a faceted sneaker spinning in bright space,,,,
pt_camera_cinematic,Lumen Camera,gadget,cinematic,a low poly camera rotating with dramatic light,,,,
pt_lipstick_elegant,Velvet Matte,beauty,elegant,a geometric lipstick on a marble pedestal,,,,
pt_dashboard_saas,Northstar,saas,clean,a floating low poly dashboard interface,,,,
pt_coffee_playful,Dayblend,food,playful,a geometric coffee cup with steam,,,,
pt_dumbbell_bold,Forge Grip,fitness,bold,a faceted dumbbell emerging from shadow,,,,
pt_perfume_premium,Oud Noir,luxury,premium,a geometric perfume bottle under spotlight,,,,
